score,content
1,ribet + tlfn cs mahal
5,bagus sangat membbantu sekali
5,okey
5,"sangat membantu dalam transaksi , lancar tdk ada kendala"
4,"Layanan bagus,,,"
5,mantap sukses selalu
4,"disaat mo di pakai akhir2 sering g bisa login. mengecewaakaannnnnnnnnm sekaliiiiiiiiiiiiiiii, ok.. sudah diperbaiki. aq kasih rating lebih"
5,"tampilannya informatif, simpel & keren"
5,👍ok
5,terbaik mmng bank mandiri smgah slamanya TDK ad rasa kecewanya
5,membantu
4,mantap
5,sangat bagus dan membantu sy sngat suka
5,ok
2,awalnya saya sangat senang menggunakan aps livin ini. Namun makin ke sini kok kalah sama mobile banking yg lain yak.. terutama saat pembayaran VA. kadang kita cm dapat nomor VA. who cares NAMA PENYEDIA LAYANAN NOMOR ITU. nama perusahaan dan aps kadang lain dan pembayaran punya batas waktu. ya kali harus tebak2an dulu NAMA PENYEDIA LAYANAN??? kita engga senganggur itu kaliiii. tolong buat lebih simple tp ttap secure. Thanks!
5,All top markotop jos jis
5,sangat membantu
3,sangat bagus
5,ok
5,bagus
5,bagus
5,sangat memudahkan/sangat membantu
5,aplikasi bagus saya cocok dengan aplikasi nya
1,"tiap bulan di kenai banyak kalo.. biaya saldo minimum 5k, biaya administrasi rek 5k, biaya administrasi kartu debit kena 12k.. 1 bulan 25k 😭, ini bukan nabung ke nya.."
5,terbantu sekali ada livin
5,memudahkan segala transaksi
1,ga tau kenapa akhir akhir ini sering gagal transaksi. coba lagi melulu atau ga peraturan jam lah katanya. ini kenapa ya?
5,ternyaman
5,OK
5,good
2,kok gak bisa diakses? rusak apa gmna?
5,baguss
5,bagus
1,pengurangan biaya kartu debit 4 kali dalam sebulan . parah mandiri mengambil uang debitur semaunya aja
5,sangat baik
1,"apa ini tiba tiba ke log out sendiri, mau masuk juga ngga bisa, hebat kamu hebatttttt"
5,dulu sering eror Alhamdulillah sekarang mempermudah saya tapi admin nya terlalu mahal beli token listrik
5,Saya mau ada kemudahan untuk bayar PDAM di daerah saya dengan menggunakan Livin
5,Bagus sekali
4,ok
3,"Awalnya saya mau update tetapi tidak bisa, akhirnya saya uninstal kemudian saya instal lagi tetapi tidak bisa terinstal"
1,"gak bisa masuk. loading muter2 doang didepan aplikasi. udah relog, udah bersihkan cache sampe install ulang tetep gabisa."
4,semoga dapat membantu sahabat mandiri
5,bagus lah keren
5,selama ini bagus sih apknya membantu banget
5,la nih gmna habis di apdet kok malah eror ga bisa
5,"Bagus aplikasi ini, sangat membantu"
5,oke Bangett
5,memudahkan bertransaksi
5,"aplikasi bagus,lancar ga pernah ada masalah"
5,simple lengkap dan cepat
5,praktis tidak ribet
5,apk bagus bnget
5,"penggunaannya cepat,GK ribet,mau TF atw topp up.."
5,aplikasi cepat
5,memudahkan
5,menyenangkan
5,"Aplikasi yang sangat bagus dan canggih, kalau menurut Saya sih aplikasi ini lebih bagus dari pada aplikasi bank-bank lain. sukses dan jaya terus bank Mandiri di dalam dan luar negeri"
5,Perbaiki lah masalah jaringan nya susah banget buat log in.di update malah gak bikin nyaman?
5,mantap serbaguba
4,sangat membantu
5,🏅🏅🏅🏅
1,banya bug aneh... jrng bagus kaga bisa login semoga di perbaharui
5,is the best pokoke 🔥
5,"mantap, sejak pakai livin mandiri biar kerja nya di hutan transaksi tetap lancar"
5,"bagus aplikasinya,memudahkan"
5,bagus banget
5,aman
5,sangat suka
5,"sangat memudahkan, dan tingkat keamanan terjamin mudah mudahan."
1,sudah seharian aplikasi Livin by mandiri saya tidak bisa login mohon bantuannya 🙏🏻
5,mempermudah urusan transaksi
4,bagus pokoknya livine Aman
5,sang baik
5,senang sekali pakai aplikasi ini lebih mudah .
5,bagus
5,best
5,"bagus, sangat baik"
5,Aplikasi nya bagus dan sangat membantu dalam bertransaksi. terimakasih Mandiri
5,alhamdulillah semenjak pake livin jadi serba praktis mau apa2 aja bisa👍
4,apk nyaa nice
5,luar biasa sangat membantu
5,puas
5,luar biasa
5,"sangat membantu dan mempermudah dalam transaksi keuangan, terimakasih"
5,Livin Bagus
5,bagus dan lancar
5,"mohon maaf saya kurang lebih baru setahun menggunakan livin' by mandiri sampai saat ini tidak ada kendala justru banyak membantu saya dalam hal tranfer, top up dana bayar shopy bayar angsuran BFI , beli toke listrik , beli paket data , dn masih banyak lagi.."
4,sering minta di update
5,"Emang masih baru pakai Livin,tp kalo dibanding sama app yg lain.jauh lebih enak pakai Livin tampilannya asik nggak ribet."
5,sangat membantu
5,top
5,ok
5,goood
5,sangat membantu dan mempermudah transaksi
5,mantap skali
5,bagus
5,sangat membantu
5,sangat bermanfaat dalam bertransaksi
5,👍
5,sangat membantu dan mempermudah bertransaksi
1,app gak bisa di buka
5,mantap
5,"dari Dulu sampe skrng, tdk perna ada hambatan. livin memang paling The best 🥰"
5,mohon di tingkat kan lagi
5,mantapp
5,trimakasih
5,mantap
5,transaksi lebih mudah dan sangat membantu untuk proses pembayaran
5,makasih
5,ada m banking Livin lebih mudah dan praktis 👍
5,pelayanan optimal
5,"tidak banyak komentar,yang jelas mantap punya lah,,,,,👍👍"
5,"aplikasi Livin ini bagus, selama sy punya Livin, narek uang dan kirim uang gak pernah lagi pake kartu,cukup BLA BLA aj di aplikasi lansung bisa kirim uang dan Tarek uang.mantab"
1,knapa mbanking gk bisa dibuka ya.. pdahal dah di perbaharui jga
5,"sebelum di update, masih aman² aja, tpi kok barusan setelah saya update, apk nya cma loading terus"
5,good
5,"Livin sangat Membantu,memudahkan segala kebutuhan dan keperluan sehari hari terima kasih Livin semoga semakin sukses"
5,"ok, praktis"
5,"livin membantu transaksi perbankan saya lebih cepat,efisien dan tepat waktu"
4,Bgus
5,ok
5,saya puas sekali sma livin mandiri ini peliharaan ya sangat baik sekali sma nasbah pun sngat aman..saya pake trs livin mandiri karna saya selain puas jga saya percaya 100 persen semoga aja ada tmbahan buat pinjam jga seperri payleter gitu.. saya wlopun belum ada paylater ya tpi saya setia sama livin jadi peganan saya buat yimpen uang
5,alhamdulilah baik dan mudah di gunakan🙏🙏
5,sukses selalu
5,sangat puas 🙏
5,kenapa ya saya update ke versi terbaru saldo nya masih aja segitu ga nambah2 🤪🤪
5,Thankss sudah bekerja sma dengan baik
5,sangat membantu
5,oke
5,sangat puas sekali pelayanan nya mantap
5,sangat membantu
5,oke
5,sangat berguna bagi keluarga
5,Ok
3,Alhamdulillah sangat membantu Dan Meringankan...🙏🙏🙏
5,"meski agak bingung karna bayak fitur, tapi selama ini livin emang bagus"
5,baik
5,bagus dan efektiv
5,semoga bermanfaat
5,nyaman di pakee
1,kenapa hari ini sya mau masuk ke aplikasi livin mandiri cuma logo nya doang yg muncul.sya tungguin udh beberapa menit ttp logo nya aja muncul.bsa di jelaskan kpd sya knapa ini terjadi admin livin mandiri.hari ini tgl 7 maret 2026 hari sabtu.
5,sangat bermanfaat bagi sya
5,sanggat baik sekali
5,lebih di tingkat kan lagi keamanan ny🙏
5,👍
5,Bagus aplikasinya
5,sangat mudah dan puas
5,Aplikasi nya bagus
5,Alhamdulillah saya selalu menggunakan Livin walau pun jauh tetap aman terkendali
1,"aplikasi taiiii, baru juga pakai ini dah ribet apa2 ada admin fangkeelah, terlalu rumit pengalaman pake ini sangat burukk"
2,punya saya tidak bisa login
5,udah bintang aja
5,mudah penggunannya
5,bagus dan bermanfaat
5,amazing
5,"Sangat memudahkan untuk segala transaksi, pokoknya sangat membantu sekali."
5,bagus
5,sangat bermanfaat sekali
4,Tambah lagi program yg memudahkan nasabah... berniaga /UKM
5,mntap
5,baik
5,baik dan simpel penggunaannya
5,ok
5,Livin terdepan di dunia bisnisku
1,saya kasih bintang 1 karena harus login LG ..
1,"mandiri ribet, masak cuma lupa pin terus gak bisa bikin pin baru, malah di suruh ngurus di kantor bank mandiri, gak kayak brimo.. brimo mah enak banget lupa pin tinggal klik lupa pin, nanti di kirim kode otp melalui whatsap"
5,Ok
1,payah
5,"sangat membantu,penggunaan mudah dan sangat gampang di mengerti"
5,semudah yg dibayangkan. Tri. kasih mandiri... ganti kartu habis masa aktif pake mesin cepat jadi Trimakasih mandiri jadikan selalu pelayanan yg terbaiknya 🙏
5,"Bermanfaat dengan baik namun minta tolong untuk nominal tarik tunai tanpa kartu di usahakan bisa langsng minim itu 2jt gitu jngan 1jt tok, jdi berkali"" dlu klo mau tarik , thanks.."
5,luar biasa
5,aplikasinya bagus dan mudah dioperasikan
5,agar menjadi lebih baik lagi
4,"udah mulai ok lh mandiri aplikasi ini membantu sekali,tpi untuk Atm2 nya didesa desa atau di daerah barito kuala kalsel khususnya anjir pasar pun gak ada,cuma bnk2 lain aja ada dan atm nya ada,mandiri gak ada."
5,sangat mengesankan
1,minimal kasi permudah kalau teblokir tanpa harus ke bank.
5,"ok saya terbantu dalam hal apapun sekarang,yg dulu gaptek JD on poin terima kasih"
5,terbaik & quick
5,"Transaksi mudah dan lancar tanpa batas waktu ,MANTAP🌟🌟🌟🤝🏻🤝🏻🤝🏻👍🏻👍🏻👍🏻"
5,mudah digunakan
5,"sangat bermanfaat,baik dan membantu 👍"
4,sangat berguna
5,👍👍👍👍bagus
5,memudah kan
5,bagus sekali
5,mantap
1,bank yg main blokir saldona nasabah
5,sangat membantu
5,memudahkan aku transfer uang
5,"livin' by Mandiri mantap, semoga semakin jaya dan keamanan pada transaksi - transaksi perbankan semakin lebih baik sehingga para nasabah lebih percaya dan tidak ada rasa khawatir...👍🙏"
5,ok banget tapi belum dapat paylater
4,mempermudah transaksi sangat membantu
5,respon sangat bagus
5,sangat memuaskan
5,good
5,mantap
5,sangat mudah untuk digunakan
5,cepat tepat
5,Ada saran sedikit apa bisa nominal penarikan tanpa kartu di perkecil menjadi 50ribu
5,livi. eror
5,living ok mudah dan cepat buka rekening baru
5,mantap...........
5,"baik, mempermudah nasabah"
5,ok
5,mantap
5,mantap
5,bagus sangat membantu sekali
5,transaksi lancar
5,cukup bauk
5,sangat positif dan sangat membantu. trimakasih mandiri
5,bagus simple dan mudah
5,kok saya ga bisa ya ngirim ke akun dana dan Kebang lain selain narik pakai rekening
5,Sangat membantu sekali
5,Livin MANDIRI top markotop
5,aplikasinya paling baik🥰👍👍
5,sanget Bagu
4,bagus sangat nermaanfaat
5,Mantap Bank Mandiri
5,sangat sangat membantu dan semua biaya transaksi jdi gampang like living
5,Luar biasa.
5,ok
5,ok
5,mantap
5,ok mantap
5,"Bank MANDIRI memang Ok.,...👍👍👍👍👍🙏🙏🙏🙏🙏"
5,bagus memudah kan saya untuk berbagai transaksi
5,terbaik proteksi aman.
5,very good...
5,akurat terpacaya
5,"Alhamdulillah setelah abdet bisa langsung di gunakan,"
3,oke
5,ok
5,mantap sangat membantu sekali
5,"livin layak bintang 5, sangat memuaskan"
5,mantap
5,⭐⭐⭐⭐⭐
4,bagus
5,sangat bagus untuk transaksi
5,ia the best
5,sangat bagus
5,great app
5,mantab bisa membantu
5,mudah penggunaan dan aman
5,oky banget
5,lancar
5,sangat bagus
4,Perbaiki system untuk memasukan data NPWP. karena saat ini pemerintah menetapkan Nomor NPWP 16 Digit yang terdiri dari NIK (Nomor Induk KTP) jadi tolong di Approve. jangan eror/gagal melulu
5,sangat membantu
5,sekarang ini sudah bagus layanannya.. semoga lebih baik lagi
5,Livin the best....!👍👍
5,melayani dengan sepenuh hati dan ramah semoga bank mandiri tetap jaya tetap maju sukses
5,mantap
5,sangat membantu
5,skrg kalau buka Livin mbaking galak kluar sendiri kalau SDH 3 kali lgsg verifikasi muka...
5,"aplikasi gila, password gua sering gagal padahal pw nya udh betul"
5,ok
5,mantap mandiri
5,ok
5,sangat memuaskan
5,sdh di pakai lebih dari 2 tahun.. sangat menolong
3,saya menggunakan Livin hanya untuk bertransaksi top up tarik tunai isi e-wallet sekarang ngisi dana shopeepay yang lain lain adm nyh 2rb lumayan banget dan pada akhirnya saya pindah ke blue
5,sangat memuaskan
5,mantap lah
5,baik
5,Bagus Sekali
5,"Aplikasi mandiri Berhenti terus bagaimana ini,cara mengatasi nya, di restart sudah, di matiin hp sudah,tetap saja tidak bisa di buka, coba minta solusi nya......???"
5,mudah penggunaan...
5,josss
5,sangat bagus
5,Alhamdulillah mudah sekali pakai livin' by mandiri. jadi mudah 👍👍👍👍
5,ok
4,Lebih mempermudah nasabah untuk transaksi
5,good
5,sangat baik
5,"simple, bisa lewat flip, fitur-fitur nya ok"
5,Pas Mantap
4,kalo bisa di beranda tampilkan semua tabungan jangan harus klik lagi untung mengetahui semua tabungan jadi agak ribet.tankś..
5,mantap
5,top
5,sangat baik dan mudah keren
5,good service
5,terbaik
4,banyak bermanfaat
5,luar biasa
4,sangat membantu terimakasih Livin'by Mandiri
5,ok
5,selalu sukse. barokah
5,bagus sekali sangat membantu
1,"layanan sering bermasalah, bisa bisanya lagi butuh banget layanan malah tidak tersedia. kecewa menggunakan livin wkwk"
5,semoga gak trobel dan akurat
2,tiap transaksi kena biaya admin yg di mana bank lain ga kena biaya admin di livin tiap transaksi ada biaya admin nya.
5,Mempermudah transaksi
5,sangat membantu dalam transaksi
5,👍👍👍👍👍
1,gimana ini livin mandiri masa punya saya ga bisa untuk tf via livin
5,jos
5,memudahkan pengguna
5,memberi banyak kemudahan..
5,Optimalkan 100% Biar Lancar Saat Membuka Aplikasi nya
5,"bank mandiri selalu menjaga kerahasiaan nasabahnya, semoga selalu terpercaya dan menjadi bank Handalan Rakyat Indonesia"
5,not so bad
5,keren dh pokok nya mandiri
5,sangat puas
5,"sudah hampir 5 tahun pake aplikasi livin🥰 suka deh, ngebantu bnget untuk sgala transaksi nggak pernah mengecewakan 🤗🤗"
4,👍
4,oke
5,luar biasa
5,cepat transaksinya
4,Puas sih
5,Mudah digunakan dan banyak manfaat
5,sangat bagus
5,sangat baik
5,mantab
5,bagus bank mandiri ada di rumahku fi mana2. Aamii
5,aplikasi Livin memang bagus tapi sayangnya kalo ada aplikasi lain yg diluar aplikasi selain mandiri narik sering di izinkan seharusnya jangan izinkan karna banyak nasabah yg kehilangan duit dibobol oleh aplikasi lain. contoh seperti FB pro ko bisa narik otomatis tanpa izin dari pemilik rekening
5,sangat bagus
5,nice apk
5,sangat membantu memudah kan kami yg di pedesaan
5,"Nggak ada power cash, pdhal di livin biru ada power cash nya."
5,sangat membantu dan terus di perbaiki yg masih ada kekurangan sitem nya ttp menunjukkan bahwa aplikasi Livin by mandiri ini sangat di gemari oleh setiap orang yang mengunakan
5,sangat membantu kami
4,membantu dalam bertransaksi
3,lemot
3,fitur transfer dll sudah baik. tp saya pernah isi token PLN di Livin tp no token ga tidak bisa dimasukan ke meteran. padahal meteran saya tidak bermasalah dan sy beli token di toko lain bisa dimasukan. mohon diperbaiki. kejadian seperti ini sudah 2 kali kami alami. di livin sy dan suami. jd mhn maaf sy bintang 3 saja. Krn sy mengadu ke cs jg tidak direspon. tolong diperbaiki lg ke depannya.
5,paling good
5,"mandiri best , soal perbankan khusus nya kartu kredit , tinggal bi fast nya di gratis kan wkwkwk"
5,"lebih enak, tingkat kan terus"
5,mantap jiwa
5,app sangat berguna
5,"Bermanfaat, sangat mbamtu saya dalam bertransaksi"
5,sangat membantu sekali .dengan adanya Livin.
5,mantap
5,"terbaik, aplikasi nyenengin apalagi kalo ada saldo masuk"
5,good aplication
5,lebih mudah untuk transaksi dan kebutuhan yang lain
5,sangat2 membantu
5,bagus sangat membantu
5,mantap sangat simpel dan membantu
5,mentappp
5,sangat membantu
5,"aman aman aja pake Livin, udah pake Livin sejak 2019 masih yg ternyaman cuman kurangnya jadi mau bayar atau top up jadi ada biaya admin nya. padahal sebelum nya gk ada"
5,bagus
5,enak di pakain
5,Semoga Livin aplikasi Bank terbaik.
5,memudahkan sekali
5,awesome
4,fitur memuaskan dalam masalah pada setiap transakasi keuangan mantaf
5,mantap
3,kadang lalod
5,bermanfaat
5,Bagus sangat membantu
5,Aman
3,update terus lasu ni😌
5,transaksi makin ok
5,mantap
5,ok
5,aman
3,RPT-02 Bikin repot... udah lapor jg tapi lama
5,sangat baik dan membantu
5,Mantap
5,sangat bagus
5,mantap
5,oke bagus
5,👍👍👍👍👍
5,mantap
5,cepat tepat dan nyaman
5,sangat memuaskan
4,baik
1,menurut saya sih. bank paling ribet yang saya pernah gunakan Coba lihat Tetangga Sebelah.. menu pembayaran lebih simpel.. tidak pake kode ini itu..
5,sangat mudah di pakai transaksinya
5,"mudah, cepat dan mutakir"
5,sangat mudah
4,"perangkap mandiri aku masih normal ini, tapi yg telpon saya bilang kartu se gera diganti dari bangk mandiri jg yg kontak saya gitu mohon info"
5,semua kebutuhan Terpenuhi dimana SJ .hingga buat mudah kesegala.akses mantap living
5,sangat membantu untuk transaksi
5,selama ini sudah banyak terbantu dengan transaksi ditempat...gak pakai ribet...
5,Sudah bagus sekali layanan Livin. Terima kasih atas layanannya selama ini.
5,"bagus ,dan mempermudah segala transaksi"
5,ok
2,sudah beberapa bulan ini tdk bisa menggunakan aplikasi . sudah berulang kali login ulang. sudah update juga. tapi sampe hari ini blm bisa digunakan.
5,Livin kern
5,top
5,keren sekali.
5,komplit dn terintegrasi
5,TERBAIK APLIKASI LIVING BY MANDIRI
1,Lebih ribet dari app bank lainya.... Terlalu banyak menu.. Kurang silmpel.. mau nayar ini itu. terlalu banyak menu.. ga kaya sebelah. cukup pake BR*va. langsung beres semua. di sini beda pembayaran beda nama.... parah..
5,bagus de
5,livin mempermudah transaksi tanpa ribet
5,Aplikasi terbaik
2,sangat baik bersama Livin' by Mandiri
5,"memudahkan,melancarkan"
5,sanggat baik
5,bagus
3,update2 muluk. ngabot2i memori hape ae
5,sangat optimal
5,memudahkan kebutuhan layanan transfer antar bank
5,Alhamdulillah Mantap
5,gak ada banyak kata unt mendiskripsikannya ( tapi sangat enak sekali memakai layanan LIVIN MANDIRI ) 👍 semoga sistemnya AWET BAGUS dan BERTAMBAH BAGUS lagi
4,sudah lebih dari 6 tahun menggunakan livin. Memudahkan setiap transaksi. sayangnya Qris terima berbayar setiap transaksi.
5,sangat puas
5,mudah dan lengkap
5,aplikasinya angat membantu
5,mantap
4,min aplikasi livin terblokir bisa bantu?
4,sangat membantu
4,"terlalu sering minta update, tolong utk pihak Livin jgn sering2 lah update Krn bisa penuhin memory saja, klw TDK bisa di update malah jatuhnya susah di buka. tolong di sesuaikan sajalah"
5,🖤🖤🖤
5,ok bgt
5,"selama menggunakan livin alhamdulillah tidak ada kendala, semoga saja kedepannya juga tidak ada..... paling""ngadat kalau paketannya rewel🤭"
5,good
5,memudah kan segala transaksi
5,"MULAI DARI MUNCUL NYA LIVIN BY MANDIRI,SAMPAI SAAT INI BELUM PERNAH AKU MENDAPAT KAN GANGGUAN APLIKASI SEPERTI ORNG YANG RETING LAINYA SELALU MENGELUH KAN APLIKASI.🤦"
5,Bagus
5,bagus
5,sangat membantu
5,menjalla sekalilivinkoe
5,sangat mudah dalam transaksi utk livin Msndiri
5,"Sangat membantu saya dlm urusan transferan, hemat, cepat, dn gk ribet dlm refund ny."
5,mantap...trimaksih mandiri...
5,Livin yang terbaik
1,"udah coba sarannya force close dan masuk dengan data juga tetap masih perbaikan beneran sampe 2 hari nih perbaikannya? dan emg mesti ke bank? lalu fungsi appnya apa klo ga untuk memudahkan pelanggan? email dari kemarin masih blum dibalas, saya mau solusi tercepatnya supaya bisa menggunakam livin seperti biasa."
5,baik
5,selalu jadi yg terbaik livin by Mandiri sellu memberikan produk2 yg bgue
5,sangat bagus dan memuaskan
5,sangat berguna sekali
5,mantap
5,sangat ok
5,ok
4,good
5,sangat bagus
5,ok aja
5,sangat membantu
4,lancar tanpa halangan..good
5,Bagus dalam perbankan nasional
5,mantap
5,"sangat muda dan bagus, mempercepat bertransaksi 👍👍"
5,bagus terbantu juga dengan ada livin ini
2,Top up dana admin nya gede bnget sekarng
1,sangat bagus
1,kurang memuaskan nasabah
5,"sangat membantu , keamanan aplikasinya sangat kuat ."
4,"lewat livin klo bisa ada fitur blokir / buka blokir kartu debit. jadi tuk membuka kartu yang terblokir tidak perlu ke kantor cabang, cukup lewat aplikasi livin. seperti aplikasi bank sebelah. mohon diperhatikan lagi fitur yang mempermudah nasabah. terima kasih"
5,sangat bermanfaat
5,"Aduhh masih lengkapan yang logo biru daripada kuning , mau bayar shopee gak bisa, gmana sih ini aplikasinya harus diperbaiki lagi."
2,selama update terbaru kok ga bisa login di akun saya dan tidak bisa login tanpa adanya kartu sementara saya ga punya kartunya langsung dari aplikasi giman ini pihak mandiri tolong di perbaiki
5,"Sangat memudahkan, nyaman dipakai."
5,sangat mudah bertransaksi
5,good
4,sangat membantu
5,apk livine ini sangat membantu sy dalam segala hal apa saja .semua bisa teratasi makasih ..
5,sangat mudah digunakan sangat membantu sekali dmn pun kita berada
5,"permudah semua pembayaran, lebih simpel"
5,mudah dan aman
5,Semua Urusan Jadi Mudah.. Terimakasih
5,mantap betul...GK ribet 👍👍 terus berjaya
5,livin hebat
5,ok
5,Bagus lancar
5,bagus
5,good
5,sangat bermanfaat
5,good
5,kren aman
4,sanagat memberikan manfaat dan kemudahan dalam menggunakan aplikasi ini dengan baik dan bijak.
5,sangat mudah dan aman untuk menabung
5,like it👍👍
5,ok
5,mantap
5,ok simpel
5,mantul
5,sangat membantu
1,"di suruh update tapi setelah update hp tidak kompatibel, tidak bisa di buka."
5,aplikasi ini sangat membantu
5,sangat membantu
4,"sudah lebih 1 bulan Livin mandiri saya tidak bisa di gunakan untuk transaksi apapun, menghubungi cs jg tidak ada solusi"
5,ktanya nggak ada lagi ya
5,tuk saya best bngt .dr pelayanan.keluhan.sampe mesin ATM.n skrg di update langsung use
5,Bagus
5,bagus
5,mandiri semakin maju dan sukses
5,tetap setia dengan livin by mandiri
5,sangat bermanfaat
3,kenapa stelah di updte tidak bisa di buka
5,semoga bagus terus kedepannya
5,Setelah di update makin joos mantap
5,"gak ada pengalaman buruk sama apk ini,sudah hampir 12 tahun pkai apk livin mandiri ini.."
5,good
5,sangat membatu
5,nice
5,"setelah update apk saldo utama jd double, terimakasih livin"
5,ok
5,Alhamdulillah Livin by mandiri ckp baik d gunakan
5,selalu menjadi yg terbaik
3,tidak lengkap tidak ad mutasi transfer masuk
5,ok bank mandiri
5,cepat bertransaksi
5,lancar
5,mantab
1,mohon bantuannya ya ini kok ada gangguan terus tiap mau login.tolong ya PT Bank mandiri
5,mantap
1,sepertinya tidak bisa di percaya. saldo 200 ribu bisa hilang 45 ribu. tanpa ada keterangan resi yg di gunakan hilang begitu saja
5,cara masuk aku Livin mandiri lagi gimana
1,aplikasi bruk rekening tiba2 diblokir keterangan bsa buka blokir di cabang terdekat giliran ke kantor cabang terdekat gk bsa diaktifkan lgi gk jlas nh mandiri
5,good
5,sangat membantu
5,Aplikasinya simpel dam mudah
5,mantap
5,cukup membantu
5,OK
5,ok mandiri
5,urusan menjadi mudah
5,sangat membantu
5,update informasi dan pengolahan data cukup cepat
5,sangat mudah beetransaksi
5,bagus
5,ok
5,mantap coy
3,"Setelah update terakhir aplikasi diam selama 23 detik, baru muncul lingkaran proses dan tampil halaman login. Ini sangat mengganggu khususnya saat akan bertransaksi dengan cepat seperti pembayaran QRIS"
5,terimakasih
5,good
